NAME,TYPE,MAG,SIZE,RA,DEC
NGC1027,cluster,6.7,20',02 42.6,+61 36
NGC1052,Galaxy,10.5,2.8',02 41.1,-08 15
NGC1055,Galaxy,10.6,7.6',02 41.8,+00 27
NGC1084,Galaxy,10.7,3.5',02 46.0,-07 35
NGC1097,Galaxy,9.5,9.4',02 46.3,-30 17
NGC1232,Galaxy,9.9,7.1',03 09.8,-20 35
NGC1245,cluster,8.4,10',03 14.7,+47 14
NGC1261,cluster,8.4,6.9',03 12.3,-55 13
NGC1275,Galaxy,11.9,2.3',03 19.8,+41 31
NGC1291,Galaxy,8.5,9.7',03 17.3,-41 06
NGC1300,Galaxy,10.4,5.9',03 19.7,-19 25
NGC1316,Galaxy,8.5,11.2',03 22.7,-37 13
NGC1325,Galaxy,11.5,4.8',03 24.4,-21 33
NGC1332,Galaxy,10.3,4',03 26.3,-21 20
NGC1342,cluster,6.7,14',03 31.7,+37 22
NGC1360,nebula,9.4,360'',03 33.2,-25 52
NGC1365,Galaxy,9.6,11',03 33.6,-36 08
NGC1374,Galaxy,11.1,2.7',03 35.3,-35 14
NGC1380,Galaxy,12.4,2.4',03 36.8,-34 44
NGC1398,Galaxy,9.7,7.2',03 38.9,-26 20
NGC1399,Galaxy,9.6,6.6',03 38.5,-35 27
NGC1407,Galaxy,9.7,4.9',03 40.2,-18 35
NGC1433,Galaxy,9.9,6.1',03 42.0,-47 13
NGC1444,cluster,6.6,4',03 49.4,+52 40
NGC1491,nebula,-,6',04 03.2,+51 19
NGC1499,nebula,5,160',04 03.2,+36 22
NGC1501,nebula,12,56'',04 07.0,+60 55
NGC1502,cluster,6.9,8',04 07.8,+62 20
NGC1513,cluster,8.4,9',04 09.9,+49 31
NGC1514,nebula,10.8,120'',04 09.3,+30 47
NGC1528,cluster,6.4,24',04 15.3,+51 13
NGC1532,Galaxy,9.9,11.6',04 12.1,-32 52
NGC1535,nebula,9.4,20'',04 14.3,-12 44
NGC1545,cluster,6.2,18',04 20.9,+50 15
NGC1549,Galaxy,9.8,4.4',04 15.8,-55 36
