NAME,MAG,RA,DEC
Rasalhague,2.07,17.34.56,12.33.36
Rastaban,2.79,17.30.26,52.18.05
Regor,1.78,08.09.32,-47.20.12
Regulus,1.35,10.08.22,11.58.02
Rigel,0.12,05.14.32,-08.12.06
Rotanev,3.62,20.37.33,14.35.42
Rukbah,2.68,01.25.49,60.14.07
Rukbat,3.97,19.23.53,-40.36.57
Sabik,2.43,17.10.23,-15.43.30
Sadachbia,3.85,22.21.39,-01.23.14
Sadalbari,3.51,22.50.00,24.36.06
Sadalmelik,2.94,22.05.47,-00.19.11
Sadalsuud,2.87,21.31.34,-05.34.16
Sadr,2.23,20.22.14,40.15.24
Saiph,2.09,05.47.45,-09.40.11
Sargas,1.87,17.37.19,-42.59.52
Sarin,3.13,17.15.02,24.50.21
Scheat,2.42,23.03.47,28.04.58
Schedar,2.24,00.40.30,56.32.14
Schemali,3.56,00.19.26,-08.49.26
Scutulum,2.21,09.17.05,-59.16.31
Seginus,3.00,14.32.05,38.18.30
Shaula,1.62,17.33.36,-37.06.14
Shelyak,3.52,18.50.05,33.21.46
Sheratan,2.66,01.54.38,20.48.29
Sirius,-1.47,06.45.09,-16.42.58
Skat,3.25,22.54.39,-15.49.15
Spica,1.04,13.25.12,-11.09.41
Sualocin,3.77,20.39.38,15.54.43
Suhail,2.21,09.08.00,-43.25.57
Sulaphat,3.26,18.58.56,32.41.22
Talitha Australis,3.60,09.03.38,47.09.23
Tania Australis ,3.20,10.22.19,41.29.59
Tania Borealis,3.45,10.17.06,42.54.52
Tarazed,2.71,19.46.16,10.36.48
Tarf,3.54,08.16.31,09.11.08
Tchou,2.93,17.31.50,-49.52.34
Tejat,2.86,06.22.58,22.30.49
Thuban,3.65,14.04.23,64.22.33
Tsih,2.47,00.56.43,60.43.00
Tyl,4.00,19.48.10,70.16.05
Unukalhai,2.62,15.44.16,06.25.32
Vega,0.03,18.36.56,38.47.01
Vindemiatrix,2.83,13.02.11,10.57.33
Wasat,3.53,07.20.07,21.58.56
Wazn,3.10,05.50.58,-35.46.06
Wezen,1.83,07.08.23,-26.23.36
Yed Posterior,3.22,16.18.19,-04.41.33
Yed Prior,2.75,16.14.21,-03.41.40
Zaniah,3.89,12.19.54,-00.40.01
Zaurac,2.95,03.58.02,-13.30.31
Zosma,2.56,11.14.07,20.31.25
Zubenelgenubi,2.74,14.50.41,-15.59.50
Zubenelhakrabi,3.91,15.35.32,-14.27.22
Zubeneshamali,2.61,15.17.00,-09.22.58
Zuben Elschamali,2.61,15.17.00,-09.22.58
